Name,URL,Frequency,Region,Station_Type,Image,Color,Description
Absolute Classic Rock,https://planetradio.co.uk/absolute-classic-rock,,national,national_radio,/content/images/stations/absolute-rock.png,"rgb(156,77,164)",Rock's greatest hits
Absolute 20s,https://planetradio.co.uk/absolute-radio-20s/,,national,national_radio,/content/images/stations/absolute-20s.png,"rgb(164,69,172)",New Music Matters
Absolute 10s,https://planetradio.co.uk/absolute-radio-10s/,,national,national_radio,/content/images/stations/absolute-10s.png,"rgb(164,70,170)",Music from the 2010s
BBC Asian Network,https://www.bbc.co.uk/sounds/play/live:bbc_asian_network,,national,national_radio,/content/images/stations/bbc-asian.png,"rgb(251,250,251)",BBC Asian Network is a British radio station whose target audience are people aged 15-35 of South Asian descent
BBC Radio 1,https://www.bbc.co.uk/sounds/play/live:bbc_radio_one,97.7 - 99.8 FM,national,national_radio,/content/images/stations/bbc-radio1.png,"rgb(251,251,251)",BBC Radio 1 is one of the BBC's two flagship radio stations - specialising in modern popular music and current chart hits throughout the day.
BBC Radio 1XTRA,https://www.bbc.co.uk/sounds/play/live:bbc_1xtra,,national,national_radio,/content/images/stations/bbc-radio1-extra.png,"rgb(251,251,251)",BBC Radio 1Xtra is a digital urban contemporary and Black music radio station in the United Kingdom that is owned and operated by the BBC
BBC Radio 2,https://www.bbc.co.uk/sounds/play/live:bbc_radio_two,88.1 - 90.2 FM,national,national_radio,/content/images/stations/bbc-2.png,"rgb(251,249,248)",The most popular station in the United Kingdom with over 15 million weekly listeners
BBC Radio 3,https://www.bbc.co.uk/sounds/play/live:bbc_radio_three,90.2 - 92.4 FM,national,national_radio,/content/images/stations/bbc-radio3.png,"rgb(250,250,250)",Your go-to introduction to classical music.
BBC Radio 4,https://www.bbc.co.uk/sounds/play/live:bbc_radio_fourfm,92.5 - 96.1 FM,national,national_radio,/content/images/stations/bbc-radio4.png,"rgb(251,251,251)",BBC Radio 4 - speech for curious minds. News - arts - comedy - politics - readings - discussion - documentaries - drama - history - money - and science.
BBC Radio 4 Extra,https://www.bbc.co.uk/sounds/play/live:bbc_radio_four_extra,,national,national_radio,/content/images/stations/bbc-radio-4-extra.png,"rgb(250,250,251)",A BBC station broadcasting archived repeats of comedy - drama and documentary programmes nationally - 24 hours a day.
BBC Radio 5 Live,https://www.bbc.co.uk/sounds/play/live:bbc_radio_five_live,,national,national_radio,/content/images/stations/5-live.png,"rgb(249,250,250)",Mainly news - sport - discussion - interviews and phone-ins.
BBC Radio 5 Live Sports Extra,https://www.bbc.co.uk/sounds/play/live:bbc_radio_five_live_sports_extra,,national,national_radio,/content/images/stations/5-live-extra.png,"rgb(250,251,250)",Specialising only in extended additional sports coverage.
BBC Radio 6 Music,https://www.bbc.co.uk/sounds/play/live:bbc_6music,,national,national_radio,/content/images/stations/bbc-6-music.png,"rgb(250,250,250)",A BBC station specialising primarily in alternative music
BBC World Service,https://www.bbc.co.uk/sounds/play/live:bbc_world_service,,national,national_radio,/content/images/stations/bbc-world-service.png,"rgb(196,52,29)",The BBC World Service is an international broadcaster - owned and operated by the BBC. It is the world's largest of any kind.
BBC Radio Scotland,https://www.bbc.co.uk/sounds/play/live:bbc_radio_scotland_fm,92 - 95 FM,scotland,regional_station,/content/images/stations/bbc-scotland.png,"rgb(100,36,108)",BBC Radio Scotland is BBC Scotland's national English-language radio network.
BBC Radio nan Gàidheal,https://www.bbc.co.uk/sounds/play/live:bbc_radio_nan_gaidheal,103.5 - 105 FM,scotland,regional_station,/content/images/stations/bbc-gaidheal.png,"rgb(5,70,112)",Scottish radio station - broadcasting in Scottish Gaelic.
BBC Radio Ulster,https://www.bbc.co.uk/sounds/play/live:bbc_radio_ulster,92 - 95 FM,northern-ireland,regional_station,/content/images/stations/bbc-ulster.png,"rgb(249,249,245)",The main Northern Ireland BBC radio station
BBC Radio Foyle,https://www.bbc.co.uk/sounds/play/live:bbc_radio_foyle,93.1 FM,northern-ireland,regional_station,/content/images/stations/bbc-foyle.png,"rgb(247,248,241)",A BBC Northern Ireland local radio station - serving County Londonderry in Northern Ireland.
BBC Radio Wales,https://www.bbc.co.uk/sounds/play/live:bbc_radio_wales_fm,93.0 - 96.8 - 104.9 FM,wales,regional_station,/content/images/stations/bbc-wales.png,"rgb(242,149,70)",Everything you need to know from Wales and the world.
BBC Radio Cymru,https://www.bbc.co.uk/sounds/play/live:bbc_radio_cymru,93.0 - 96.8 - 104.9 FM,wales,regional_station,/content/images/stations/bbc-cymru.png,"rgb(52,132,212)",Wales' Welsh-language national radio network
Classic FM,https://www.classicfm.com/,99.9 - 101.9 FM,national,national_radio,/content/images/stations/classic-fm.png,"rgb(251,251,251)",Discover classical music and find out more about the best classical composers - musicians and their works.
Kiss,https://planetradio.co.uk/kiss/,97.2 - 100.0 - 101.0 - 105.6 - 106.1 - 106.4 - 107.7 FM,national,national_radio,/content/images/stations/kiss.png,"rgb(251,250,251)",Kiss plays contemporary hits with an urban and dance music lean during the day - with more specialist shows in the evening.
Kisstory,https://planetradio.co.uk/kisstory/,,national,national_radio,/content/images/stations/kisstory.png,"rgb(251,251,251)",Just like its sister station Kiss is a UK radio station that plays old skool and anthems
LBC,https://www.lbc.co.uk/,97.3 FM (London),national,national_radio,/content/images/stations/lbc.png,"rgb(236,235,235)",London-based national phone-in and talk radio station.
Magic,https://planetradio.co.uk/magic/,105.4 FM,national,national_radio,/content/images/stations/magic.png,"rgb(249,250,250)",The home of Magic Breakfast with Ronan Keating and Harriet Scott - and the songs you love from Adele to ABBA - and Ed Sheeran to Elton John.
Planet Rock,https://planetradio.co.uk/planet-rock/,,national,national_radio,/content/images/stations/planet-rock.png,"rgb(251,248,248)",Where rock lives
Premier Praise,https://www.premierpraise.com/,,national,national_radio,/content/images/stations/premier-praise.png,"rgb(251,250,250)",Listen in for the Christian music you love 24 hours a day infused with opportunities for spiritual reflection.
Premier Christian Radio,https://www.premierchristianradio.com/,,national,national_radio,/content/images/stations/premier-christian.png,"rgb(249,248,248)",Here to make your life better. Be inspired and uplifted this with hope filled music and the timeless truth of God's word
Premier Gospel,https://www.premiergospel.org.uk/,,national,national_radio,/content/images/stations/premier-gospel.png,"rgb(250,250,248)",Premier Gospel: music for life.
Scala Radio,https://planetradio.co.uk/scala-radio/,,national,national_radio,/content/images/stations/scala-radio.png,"rgb(224,223,38)",A classical music digital radio station in the United Kingdom
Sunrise Radio,https://www.sunriseradio.com/,,national,national_radio,/content/images/stations/sunrise.png,"rgb(250,250,250)",Sunrise Radio is the UK's number 1 commercial Asian radio station
talkRadio,https://talkradio.co.uk/,,national,national_radio,/content/images/stations/talk-radio.png,"rgb(251,251,251)",The UK's most exciting new speech radio station - this is personality driven radio at its best.
talkSport,https://talksport.com/,,national,national_radio,/content/images/stations/talksport.png,"rgb(13,13,12)",Tune in to the world's biggest sports radio station - Live Premier League football coverage - breaking sports news - transfer rumours & exclusive interviews.
UCB 1,https://www.ucb.co.uk/ucb1,,national,national_radio,/content/images/stations/ucb1.png,"rgb(4,4,4)",Christian radio for everyone.
UCB 2,https://www.ucb.co.uk/ucb2,,national,national_radio,/content/images/stations/UCB2.png,"rgb(251,251,251)",Christian radio for everyone.
Virgin Radio,https://virginradio.co.uk/,,national,national_radio,/content/images/stations/virgin-radio.png,"rgb(251,250,250)",Virgin Radio UK is a national Hot AC radio station in the United Kingdom
BFBS UK,https://radio.bfbs.com/stations/bfbs-uk,,national,national_radio,/content/images/stations/BFBS_Logo.png,"rgb(251,251,251)",Connecting you with home - wherever you are
BFBS Radio 2,https://radio.bfbs.com/stations/bfbs-radio-2,,national,national_radio,/content/images/stations/BFBS_Logo.png,"rgb(251,251,251)",Connecting you with home - wherever you are
BFBS Gurkha Network,https://radio.bfbs.com/stations/bfbs-gurkha-network,,national,community_radio,/content/images/stations/BFBS_Logo.png,"rgb(251,251,251)",Connecting you with home - wherever you are
BFBS Northern Ireland,https://radio.bfbs.com/stations/bfbs-northern-ireland,,northern-ireland,regional_station,/content/images/stations/BFBS_Logo.png,"rgb(251,251,251)",Connecting you with home - wherever you are
